# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
DDAppBlit,wingraph.obj,param,sp+0x14,0x109C,mregion
DDAppBlitX,wingraph.obj,param,sp+0x54,0x109C,region
DDAppBlitX,wingraph.obj,param,sp+0x58,T_INT4(0074),dx
DDAppBlitX,wingraph.obj,param,sp+0x5c,T_INT4(0074),dy
DDAppBlitX,wingraph.obj,local,sp+0x3c,0x1015,comb_rect
DDAppBlitX,wingraph.obj,local,sp+0x4c,0x1015,mTemp
DDRestoreFrontBuffer,wingraph.obj,param,sp+0x28,0x10A1,dst_rect
DDBlit,wingraph.obj,param,sp+0x50,0x1073,dst_surface
DDBlit,wingraph.obj,param,sp+0x54,0x109C,udst_rect
DDBlit,wingraph.obj,param,sp+0x58,0x1073,src_surface
DDBlit,wingraph.obj,param,sp+0x5c,0x109C,usrc_rect
DDBlit,wingraph.obj,param,sp+0x60,T_ULONG(0022),flags
DDBlit,wingraph.obj,local,sp+0x2c,0x1015,dst_rect
DDBlit,wingraph.obj,local,sp+0x3c,0x1015,temprect
DDBlit,wingraph.obj,local,sp+0x1c,0x1015,src_rect
DDCreateSurface,wingraph.obj,param,fp+0x94,T_ULONG(0022),width
DDCreateSurface,wingraph.obj,param,fp+0x98,T_ULONG(0022),height
DDCreateSurface,wingraph.obj,param,fp+0x9c,T_INT4(0074),bPrimary
DDCreateSurface,wingraph.obj,param,fp+0xa0,0x10A8,oldsurface
DDCreateSurface,wingraph.obj,local,sp+0x28,0x1071,ddsd
DDCreateSurface,wingraph.obj,local,sp+0x18,0x1097,ddscaps
DDCreateSurface,wingraph.obj,local,sp+0x14,0x1073,psurf
BMCreateSurface,wingraph.obj,param,sp+0xc8,T_ULONG(0022),width
BMCreateSurface,wingraph.obj,param,sp+0xcc,T_ULONG(0022),height
BMCreateSurface,wingraph.obj,local,sp+0x18,0x10AF,div_result
BMCreateSurface,wingraph.obj,local,sp+0x30,0x1071,ddsd
BMCreateSurface,wingraph.obj,local,sp+0x14,T_ULONG(0022),temp_prod
BMCreateSurface,wingraph.obj,local,sp+0x10,0x1073,psurf
DDCreateMouseSurfaces,wingraph.obj,local,sp+0x10,0x1095,color_key
DDCreateMouseSurfaces,wingraph.obj,local,sp+0x18,0x1071,ddsd
DDSD,wingraph.obj,param,fp+0xe0,T_INT4(0074),iDDErr
DDSD,wingraph.obj,param,fp+0xe4,T_32PRCHAR(0470),cFile
DDSD,wingraph.obj,param,fp+0xe8,T_INT4(0074),iLine
DDSD,wingraph.obj,local,sp+0x18,0x10B3,cTemp
DDSetFullScreenStatus,wingraph.obj,param,fp+0xdc,T_INT4(0074),iNewStatus
DDSetFullScreenStatus,wingraph.obj,local,sp+0x27,T_UCHAR(0020),result
DDSetFullScreenStatus,wingraph.obj,local,sp+0x2c,0x103A,saved_bitmap
AppPaint,wingraph.obj,param,sp+0x0,T_32PVOID(0403),hwnd
AppPaint,wingraph.obj,param,sp+0x4,T_32PVOID(0403),hdc
SetFullScreenStatus,wingraph.obj,param,sp+0x1c,T_INT4(0074),bFullScreenOn
File::File,winfile.obj,param,sp+0x18,0x10CB,this
File::~File,winfile.obj,param,sp+0x14,0x10CB,this
File::IsOpen,winfile.obj,param,sp+0x0,0x10CB,this
File::Close,winfile.obj,param,sp+0x18,0x10CB,this
File::GetLastError,winfile.obj,param,sp+0x0,0x10CB,this
File::UpdateError,winfile.obj,param,sp+0x14,0x10CB,this
File::UpdateError,winfile.obj,param,sp+0x18,T_32PRCHAR(0470),sError
File::Exists,winfile.obj,param,sp+0x0,0x1001,sFilename
File::Delete,winfile.obj,param,sp+0x14,0x1001,sFilename
File::Rename,winfile.obj,param,sp+0x1c,0x10CB,this
File::Rename,winfile.obj,param,sp+0x20,T_32PRCHAR(0470),sOldName
File::Rename,winfile.obj,param,sp+0x24,T_32PRCHAR(0470),sNewName
File::SetAttribute,winfile.obj,param,sp+0x0,0x10CB,this
File::SetAttribute,winfile.obj,param,sp+0x4,T_32PRCHAR(0470),sFilename
File::SetAttribute,winfile.obj,param,sp+0x8,0x10BE,fileAttribute
File::GetAttribute,winfile.obj,param,sp+0x14,0x10CB,this
