# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,name
3,0x16b3c,??_C@_0CJ@ENBD@?$CFd?5was?5last?5player?4?4?4?5time?5to?5re@
2,0x5998,??_7slider@@6B@
2,0x7b00,_GUID_D3DParseUnknownCommandCallback
3,0xb7dc,??_C@_05CHJK@H3SVC?$AA@
1,0x81f98,?ExitDialog@CTextDialog@@QAAHAAUmessage@@@Z
3,0xb4a8,??_C@_0BE@OKPI@Unknown?5application?$AA@
1,0x8caf0,?replay@type_record_teleport@@UAAX_N@Z
2,0x8420,_DPAID_ServiceProvider
1,0x37df0,?clear_magus_hut_value@type_AI_player@@QAAXXZ
3,0xaa94,??_C@_04DFDH@faid?$AA@
3,0x13560,??_C@_0CI@BBGL@oversubscribed?5dynamic?5bit?5lengt@
1,0x14d414,?begin@?$vector@VTSpellbookEntry@TSpellbookWindow@@V?$allocator@VTSpellbookEntry@TSpellbookWindow@@@std@@@std@@QAAPAVTSpellbookEntry@TSpellbookWindow@@XZ
1,0x15e85c,?ViewMon@swapManager@@QAAXXZ
3,0x1cf68,??_C@_08CDBI@TOCsLt01?$AA@
1,0x50ebc,??1Bitmap16Bit@@UAA@XZ
1,0x52754,??1Bitmap24Bit@@UAA@XZ
3,0x7184,??_C@_05NAGO@false?$AA@
1,0x7c51c,?OnRecruitHero@advManager@@QAAXPAVCMapChange@@@Z
2,0x57b8,??_7CChatSlider@@6B@
1,0x3a854,?distance_type@std@@YAPAHPBQAVtype_artifact_effect@@@Z
1,0x72d10,?DrawHero@CSprite@@QBAXHHHHHHPAGHHHHH_N@Z
1,0xbe648,??0?$allocator@UTRumour@game@@@std@@QAA@XZ
1,0xbe650,??1?$allocator@UTRumour@game@@@std@@QAA@XZ
1,0x2913c,?__uninitialized_copy_aux@std@@YAPAPAVarmy@@PAPAV2@00U__false_type@@@Z
