# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,size,members,statics,bases
std::basic_string<unsigned,12,0,1,std::_String_base<unsigned
std::bidirectional_iterator_tag,1,0,0,std::forward_iterator_tag
std::binary_function<enum,1,0,0,
std::binder2nd<std::_Eq_traits<std::char_traits<char>,2,2,0,"std::unary_function<char,bool>"
"std::bitset<10,unsigned",8,2,0,
"std::bitset<18,unsigned",8,2,0,
"std::bitset<48,unsigned",8,2,0,
"std::bitset<70,unsigned",8,2,0,
std::char_traits<char>,1,0,0,"std::__char_traits_base<char,int>"
std::char_traits<unsigned,1,0,0,std::__char_traits_base<unsigned
std::deque<CNetMsg,40,0,0,std::_Deque_base<CNetMsg
std::deque<enum,40,0,0,std::_Deque_base<enum
std::domain_error,260,0,0,std::logic_error
std::forward_iterator_tag,1,0,0,std::input_iterator_tag
std::greater<type_creature_value>,1,0,0,"std::binary_function<type_creature_value,type_creature_value,bool>"
std::hash<char,1,0,0,
std::hash<char>,1,0,0,
std::hash<int>,1,0,0,
std::hash<long>,1,0,0,
std::hash<short>,1,0,0,
std::hash<signed,1,0,0,
"std::hash<std::basic_string<char,std::char_traits<char>,std::allocator<char>",1,0,0,
std::hash<std::basic_string<unsigned,1,0,0,
