# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
offset,cb,kind,name,module,file,line,debug_start,debug_end,params,locals
0x192d58,16,static,$E445,viewwrld.obj,E:\gamedcs\terrain.h,73,4,8,0,0
0x192d68,40,static,$E447,viewwrld.obj,E:\gamedcs\terrain.h,74,4,32,0,0
0x192d90,16,static,$E448,viewwrld.obj,E:\gamedcs\terrain.h,74,4,8,0,0
0x192da0,40,static,$E450,viewwrld.obj,E:\gamedcs\terrain.h,75,4,32,0,0
0x192dc8,16,static,$E451,viewwrld.obj,E:\gamedcs\terrain.h,75,4,8,0,0
0x192dd8,40,static,$E453,viewwrld.obj,E:\gamedcs\terrain.h,76,4,32,0,0
0x192e00,16,static,$E454,viewwrld.obj,E:\gamedcs\terrain.h,76,4,8,0,0
0x192e10,40,static,$E456,viewwrld.obj,E:\gamedcs\terrain.h,77,4,32,0,0
0x192e38,16,static,$E457,viewwrld.obj,E:\gamedcs\terrain.h,77,4,8,0,0
0x192e48,40,static,$E459,viewwrld.obj,E:\gamedcs\terrain.h,78,4,32,0,0
0x192e70,16,static,$E460,viewwrld.obj,E:\gamedcs\terrain.h,78,4,8,0,0
0x192e80,40,static,$E462,viewwrld.obj,E:\gamedcs\terrain.h,79,4,32,0,0
0x192ea8,64,static,$E463,viewwrld.obj,E:\gamedcs\terrain.h,79,4,8,0,0
0x192ee8,98,static,ftol,viewwrld.obj,E:\gamedcs\viewwrld.cpp,100,16,90,1,1
0x192f4c,320,global,VWDrawSprite,viewwrld.obj,E:\gamedcs\viewwrld.cpp,110,24,252,6,1
0x19308c,844,global,advManager::VWDrawHeroPart,viewwrld.obj,E:\gamedcs\viewwrld.cpp,265,28,796,9,1
0x1933d8,844,global,advManager::VWDrawHeroPartShadow,viewwrld.obj,E:\gamedcs\viewwrld.cpp,346,28,796,9,1
0x193724,424,global,advManager::VWDrawBoatPart,viewwrld.obj,E:\gamedcs\viewwrld.cpp,427,24,356,9,1
0x1938cc,424,global,advManager::VWDrawBoatPartShadow,viewwrld.obj,E:\gamedcs\viewwrld.cpp,464,24,356,9,1
0x193a74,512,global,advManager::VWDrawSymbols,viewwrld.obj,E:\gamedcs\viewwrld.cpp,510,28,434,6,0
0x193c74,1912,global,advManager::VWDrawAdvObj,viewwrld.obj,E:\gamedcs\viewwrld.cpp,578,34,1872,6,17
0x1943ec,1122,global,advManager::VWDrawAdvObjShadow,viewwrld.obj,E:\gamedcs\viewwrld.cpp,822,34,1098,6,10
0x194850,380,global,advManager::VWDrawRiver,viewwrld.obj,E:\gamedcs\viewwrld.cpp,946,26,276,6,1
0x1949cc,380,global,advManager::VWDrawRoad,viewwrld.obj,E:\gamedcs\viewwrld.cpp,985,26,286,6,1
