# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
class,offset,type,name
CMapHeaderData,8,T_UCHAR(0020),maxNumHumanPlayers
CMapHeaderData,9,T_UCHAR(0020),lastTownNameAssigned
CMapHeaderData,10,T_UCHAR(0020),mapHasNotBeenSaved
CMapHeaderData,11,T_RCHAR(0070),numTeams
CMapHeaderData,12,0x2D14,teamInfo
CMapHeaderData,20,T_INT4(0074),Size
CMapHeaderData,24,T_UCHAR(0020),HasTwoLayers
CMapHeaderData,28,0x2D46,PlayerSlotAttributes
CMapHeaderData::TPlayerSlotAttributes,0,T_UCHAR(0020),CanBeHuman
CMapHeaderData::TPlayerSlotAttributes,1,T_UCHAR(0020),CanBeComputer
CMapHeaderData::TPlayerSlotAttributes,4,T_INT4(0074),AIStrategy
CMapHeaderData::TPlayerSlotAttributes,8,T_UCHAR(0020),legal_alignments
CMapHeaderData::TPlayerSlotAttributes,9,T_UCHAR(0020),HasRandomAlignment
CMapHeaderData::TPlayerSlotAttributes,10,T_UCHAR(0020),GenerateHero
CMapHeaderData::TPlayerSlotAttributes,12,type_point,CastleLoc
CMapHeaderData::TPlayerSlotAttributes,16,T_CHAR(0010),hasRandomHero
CMapHeaderData::TPlayerSlotAttributes,20,THeroID,nonRandomHeroId
CMapHeaderData::TPlayerSlotAttributes,24,THeroID,nonRandomHeroCustomPortrait
CMapHeaderData::TPlayerSlotAttributes,28,0x2D42,nonRandomHeroCustomName
CMapHeaderRequestMsg,20,T_INT4(0074),m_nbr
CMessageKill,0,0x1CC7,m_pNetMsg
CNetMsg,0,T_INT4(0074),m_from
CNetMsg,4,T_ULONG(0022),m_dpidFrom
CNetMsg,8,eRS_Messages,m_subType
CNetMsg,12,T_ULONG(0022),m_size
CNetMsg,16,T_ULONG(0022),m_UncompressedSize
CNetMsgHandler,4,T_UCHAR(0020),m_inPopup
CNetMsgHandler,8,0x1CC7,m_pAbortPopupMsg
CNetMsgHandlerPause,12,0x2BAB,m_pNetMsgHandlerSave
CNetPlayerInfo,0,T_ULONG(0022),dpid
CNetPlayerInfo,4,0x1A39,sName
CNewHostMsg,20,T_ULONG(0022),m_dpidHost
CNewMapHeaderInfoMsg,20,NewSMapHeader,m_mapHeader
CNewPlayerMsg,20,CNetPlayerInfo,m_playerInfo
CNewPlayerMsg,48,0x248F,m_version
CNewSetupInfoMsg,20,SGameSetupOptions,m_gameSetupOptions
CNormalWinMsg,20,T_INT4(0074),m_gamePos
CObject,4,T_UCHAR(0020),x
CObject,5,T_UCHAR(0020),y
CObject,6,T_UCHAR(0020),z
CObject,8,T_USHORT(0021),TypeID
CObject,10,T_UCHAR(0020),frameOffset
CObjectType,0,"std::basic_string<char,std::char_traits<char>,std::allocator<char>",ImageName
CObjectType,12,T_RCHAR(0070),Width
CObjectType,13,T_RCHAR(0070),Height
CObjectType,16,"std::bitset<48,unsigned",PlacementMask
CObjectType,24,"std::bitset<48,unsigned",PassableMask
CObjectType,32,"std::bitset<48,unsigned",ShadowMask
